key,source,translation
task_dlc_stories_goal_wooden_doll,Build a wooden bartender and set it behind the bar.,สร้างบาร์เทนเดอร์จากไม้ แล้ววางมันไว้หลังบาร์
gerry_yorick_tavern_1,"Clumsy work, but it's good enough. <Yorick>, it's your turn!",ฝีมือหยาบไปหน่อย แต่พอใช้ได้ <โยริก> ตาแกแล้ว!
gerry_yorick_tavern_2,Yorick? Are you sure it's a good idea?,โยริกเหรอ? แน่ใจนะว่าคิดดีแล้ว?
gerry_yorick_tavern_3,More complaints! Just think: he can work around the clock.,บ่นอีกละ ลองคิดสิ เขาทำงานได้ทั้งวันทั้งคืน
gerry_yorick_tavern_4,He knows all the gossip and rumors.,รู้เรื่องซุบซิบนินทากับข่าวลือไปหมด
gerry_yorick_tavern_5,And he has 30 years of bartending experience.,แถมมีประสบการณ์ชงเหล้าถึง 30 ปี
gerry_yorick_tavern_6,Before he poisoned himself with an expired cocktail.,ก่อนจะตายเพราะค็อกเทลหมดอายุ
gerry_yorick_tavern_7,And most of all: he doesn't claim a salary! Who's the genius here?,ที่สำคัญ ไม่ขอค่าจ้างด้วย! ใครอัจฉริยะที่สุดแถวนี้ล่ะ?
gerry_yorick_tavern_8,"Hm, it makes sense.",อืม มันสมเหตุสมผล
gerry_yorick_tavern_9,Talk to him. I'll be waiting for you in the <local cellar>.,คุยกับเขาสิ ข้าจะรอใน <ห้องใต้ดินที่นี่>
barman_intro_1,I greet the new <bartender>!,ยินดีต้อนรับ <คนชงเหล้า> คนใหม่!
barman_intro_2,"Oh, It'll be a such pleasure to work with you...",โอ้ มันจะเป็นความสุขมากที่จะทํางานกับคุณ...
barman_intro_3,"No salary, no insurance, no vacations? Never! I'm on strike!",ไม่มีเงินเดือน ไม่มีประกัน ไม่มีวันหยุด? ไม่มีทาง! ข้าจะนัดหยุดงาน!
barman_intro_4,Have a good day! Bye!,ขอให้มีวันที่ดี!
barman_intro_5,"Okay, now you're alone. Since you're such a skilled bartender, could you tell me some details?",เอาละ เหลือนายคนเดียวแล้ว ไหนๆ ก็เป็นคนชงเหล้ามือฉมัง ช่วยอธิบายรายละเอียดหน่อยได้ไหม?
barman_intro_6,Of course! A tavern is like a... a... defenseless flower. Yes!,แน่นอน! โรงเหล้าก็เหมือน... เหมือน... ดอกไม้บอบบาง ใช่แล้ว!
barman_intro_7,Your duty to care for it and develop it like your child! So you must remember the following:,เป็นหน้าที่ของคุณที่จะดูแลและพัฒนามันเหมือนลูกของคุณ ดังนั้นคุณต้องจําข้อต่อไปนี้:
barman_intro_8,There're a kitchen and a storage area in the <cellar>. Alcohol is stored on <pallets>.,มีครัวกับที่เก็บของใน <ห้องใต้ดิน> ส่วนเหล้าเก็บไว้บน <แท่นวางสินค้า>
barman_intro_9,We sell alcohol from pallets around the clock. We need to make sure it doesn't run out.,เราขายเหล้าจากแท่นวางสินค้ากันทั้งวันทั้งคืน ต้องคอยดูให้แน่ใจว่าของไม่หมด
barman_intro_10,Sounds reasonable.,ฟังดูสมเหตุสมผล
barman_intro_11,<Customers> buy alcohol and enjoy life. But they like quality taverns!,<ลูกค้า> ซื้อเหล้าแล้วสำราญกับชีวิต แต่พวกเขาชอบโรงเหล้าคุณภาพดี!
barman_intro_12,"So: the higher the <tavern's quality>, the more customers you get. And the more customers, the more money!",ดังนั้น ยิ่ง <คุณภาพโรงเหล้า> สูง ลูกค้ายิ่งมาก ยิ่งลูกค้ามาก เงินก็ยิ่งมาก!
barman_intro_13,"If you have other questions, you're welcome to ask.",ถ้าคุณมีคําถามอื่น คุณยินดีที่จะถาม
barman_intro_14,"Oh, I'm already looking forward to the stupors, the wild screams, the drunken fights... It's marvelous!",โอ้ ข้าแทบรอไม่ไหว ทั้งคนเมาแอ๋ เสียงแหกปาก คนเมาตีกัน... วิเศษจริงๆ!
barman_intro_15_a,What's this <bar with the stars>?,<แถบที่มีดาว> นี่คืออะไร?
barman_intro_15_a_1,It's a <reputation bar>. It fills with every drop of alcohol you sell.,นั่น <แถบชื่อเสียง> จะเพิ่มขึ้นตามเหล้าทุกหยดที่เจ้าขาย
barman_intro_15_a_2,Completely filling the bar will give you a <reputation star>.,เมื่อแถบเต็ม เจ้าจะได้ <ดาวชื่อเสียง>
barman_intro_15_a_3,<Reputation star>? What does that mean?,<ดาวชื่อเสียง>นั่นหมายความว่าไง
barman_intro_15_a_4,It's simple! Reputation stars are needed for holding <events> at the tavern.,ง่ายนิดเดียว! ต้องใช้ดาวชื่อเสียงเพื่อจัด <กิจกรรม> ในโรงเหล้า
barman_intro_15_a_5,Why do we want to have <events>?,ทำไมเราต้องจัด <กิจกรรม> ด้วย?
barman_intro_15_a_6,Because it's fun! <Events> are the best way to entertain people and earn money!,เพราะมันสนุก! <กิจกรรม> เป็นวิธีที่ดีที่สุดในการสร้างความบันเทิงและหาเงิน!
barman_intro_15_a_7,"Look, a good event can bring in more revenue than a couple of weeks without events.",ดูสิ งานดีๆ จะได้รายได้มากกว่า สองสามสัปดาห์ที่ไม่มีงาน
barman_intro_15_a_8,"The thing is, you can sell a lot of food and alcohol during an event!",เรื่องก็คือ คุณสามารถขายอาหารและแอลกอฮอล์ได้เยอะๆ ระหว่างงาน
barman_intro_15_a_9,Tell me more about <food>.,บอกฉันเกี่ยวกับ <อาหาร>.
barman_intro_15_a_10,Food must be suitable for the event. Inappropriate food can be sold too but...,อาหารต้องเหมาะสมกับงาน อาหารที่ไม่เหมาะสมก็ขายได้เหมือนกัน แต่...
barman_intro_15_a_11,But for a lower price and in much smaller quantities.,แต่ด้วยราคาที่ต่ํากว่า และปริมาณที่น้อยกว่า
barman_intro_15_a_12,And how can I start an <event>?,แล้วจะเริ่ม <กิจกรรม> ได้อย่างไร?
barman_intro_15_a_13,"Easy! Though you need <reputation stars>, <advertising flyers>, and a little faith in yourself.",ง่ายมาก! แค่มี <ดาวชื่อเสียง> <ใบปลิวโฆษณา> แล้วก็เชื่อมั่นในตัวเองหน่อย
barman_intro_15_a_14,"Thank you, Yorick. See ya.",ขอบคุณนะ โยริก แล้วเจอกัน
barman_intro_15_b,Let's talk some other time.,มาคุยกันอีกทีนะ
@about_machine_1,About the machine..,เรื่องเครื่องจักร
about_machine_2,And now I should break the <wall> to get the machine free?,ทีนี้ฉันต้องพัง <ผนัง> เพื่อเปิดทางให้เครื่องใช่ไหม?
about_machine_3,"You read my mind, man!",รู้ใจข้าจริงๆ เจ้าหนุ่ม!
task_dlc_stories_break_machine_wall,Break the wall near the machine.,ทําลายกําแพงที่อยู่ใกล้เครื่อง
gerry_launch_machine_1,There must be a <button>. Push it.,มันต้องมี <ปุ่ม>กดมัน
gerry_launch_machine_2,There's a <skeleton>.,มี <โครงกระดูก> ด้วย
gerry_launch_machine_3,Don't pay any attention. It's that <inventor Keeper>.,ไม่ต้องสน นั่น <ผู้ดูแลสุสานนักประดิษฐ์> ไง
gerry_launch_machine_4,Do you know how to use this device?,คุณรู้วิธีใช้เครื่องนี้ไหม?
gerry_launch_machine_5,The old Keeper even didn't ever let me get close.,ผู้ดูแลสุสานคนเก่าไม่เคยให้ข้าเข้าใกล้มันเลย
gerry_launch_machine_6,"There must be <instructions>... There, I see them!",ต้องมี <คู่มือ> สิ... นั่น เห็นแล้ว!
gerry_launch_machine_7,"Oh, he loved writing instructions!",โอ้ เขาชอบเขียนคู่มือจะตาย!
gerry_launch_machine_8,It works! We only need to put an <artifact> into this hole...,ใช้ได้! แค่ใส่ <วัตถุโบราณ> ลงในช่องนี้...
gerry_launch_machine_9,And we'll witness a <scene from the far past>!,แล้วเราจะเห็น <เหตุการณ์ในอดีตอันไกลโพ้น>!
gerry_launch_machine_10,An artifact? This is getting complicated...,วัตถุโบราณเหรอ? เริ่มยุ่งยากแล้วสิ...
gerry_launch_machine_11,There must be an itemized list of artifacts in the instructions...,ในคู่มือต้องมีรายการวัตถุโบราณแบบละเอียด...
gerry_launch_machine_12,"By the way, the wrong order of artifacts could cause an <apocalypse>.",อ้อ ใส่วัตถุโบราณผิดลำดับอาจทำให้ <โลกแตก> ได้นะ
gerry_launch_machine_13,"And here, he included a complete list. The old Keeper already handled most of the research.",นี่ไง รายการครบเลย ผู้ดูแลสุสานคนเก่าค้นคว้าไว้เกือบหมดแล้ว
gerry_launch_machine_14,"It says right here: ""The first is the <Statuette of the Ancient God>"".",เขียนไว้ว่า อย่างแรกคือ <รูปปั้นเล็กของเทพโบราณ>
gerry_launch_machine_15,"And the machine says... let's look... ""The statuette's owner: <Horadric>"".",แล้วเครื่องก็บอก... ไหนดู... เจ้าของรูปปั้นคือ <โฮราดริก>
gerry_launch_machine_16,I'm totally confused.,ฉันสับสนมาก
gerry_launch_machine_17,I'll put it more simply: take the <statuette> from Horadric and bring it here.,พูดง่ายๆ ไปเอา <รูปปั้น> จากโฮราดริกมาให้ข้าที่นี่
gerry_launch_machine_18,And take care of the <corpse>. Who's the Keeper here — me or you?,แล้วจัดการ <ศพ> ด้วย ใครเป็นผู้ดูแลสุสานกันแน่ ข้าหรือแก?
task_dlc_stories_statuette_ag,Get the statuette of the Ancient God from Horadric.,ขอรูปปั้นเล็กของเทพโบราณจากโฮราดริก
@gerry_before_1cs_1,Give him the statuette of the Ancient God.,ส่งรูปปั้นเล็กของเทพโบราณให้เขา
gerry_before_1cs_2,"I got the <statuette>. Strange, it looks familiar...",ได้ <รูปปั้น> มาแล้ว แปลกจัง ดูคุ้นๆ...
gerry_before_1cs_3,"Ha, it's that <man with the red eye>!",ฮ่า นั่นแหละ <ชายตาแดง>!
gerry_before_1cs_4,Hm... And what now?,แล้วตอนนี้ล่ะ?
gerry_before_1cs_5,"Put it right there, under the screen with the buttons.",เอาไว้ตรงนั้น ใต้หน้าจอกับปุ่ม
gerry_before_1cs_6,Gently... Gently... Ready! Ok! Push the lever!,เบาๆ... เบาๆ... พร้อมแล้ว! เอ้า โยกคันโยก!
gerry_after_1cs_1,"Yay, it works! Amazing! Woo!",เย้ มันได้ผลแล้ว เย้ย เย้ย
gerry_after_1cs_2,Look at the date! That was 210 years ago!,ดูวันที่สิ! นั่นเมื่อ 210 ปีก่อน!
gerry_after_1cs_3,How could we have seen <Horadric> and <Chain> there?,ทำไมเราเห็น <โฮราดริก> กับ <เชน> อยู่ที่นั่นได้ล่ะ?
gerry_after_1cs_4,"Yeah, they must be a little older than they look!",ใช่ พวกเขาต้องแก่กว่าที่เห็นนะ
gerry_after_1cs_5,Maybe they use cosmetics and live a healthy lifestyle?,บางทีพวกเขาอาจจะใช้เครื่องสําอาง และใช้ชีวิตอย่างมีสุขภาพดี
gerry_after_1cs_6,"By the way, you can watch scenes more than once.",ว่าแต่ เจ้าดูฉากต่าง ๆ ซ้ำได้นะ
gerry_for_2tq_1,Let's go on.,ไปกันเถอะ
gerry_for_2tq_2,So... The next one is ... an <ancient wine flask>. And...,เอาละ... ชิ้นต่อไปคือ... <ขวดไวน์โบราณ> แล้วก็...
gerry_for_2tq_3,<Adam> owns it. Er... Or the <Farmer's son>... or the <Miller>...,<อดัม> หรือ... <ลูกชายชาวนา>... หรือ <คนโม่แป้ง>...
gerry_for_2tq_4,Now it's just static. You'll need to check all the people I mentioned.,ตอนนี้มีแต่สัญญาณรบกวน แกต้องไปถามทุกคนที่ข้าเอ่ยชื่อ
task_dlc_stories_wine_flask,"Take the ancient wine flask from Adam, the Farmer's son or the Miller.",รับขวดไวน์โบราณจากอดัม ลูกชายชาวนา หรือคนโม่แป้ง
@gerry_before_2cs_1,Give him the ancient wine flask.,เอาขวดไวน์โบราณมาให้เขา
gerry_before_2cs_2,"Oh, there's still some wine in it... Mmm, it's semi-sweet!",โอ้ ยังมีไวน์เหลือด้วย... อืม ไวน์กึ่งหวาน!
gerry_before_2cs_3,"Tasty, but there's not enough. Now we just shove it in there...",อร่อยดี แต่ไม่พอ เราแค่เอามา...
gerry_after_2cs_1,<Clotho>?! But Clotho is our crazy witch from the swamps!,<โคลโธ>?! แต่โคลโธคือแม่มดบ้าในบึงนี่!
gerry_after_2cs_2,The past 200 years have been rough on the old sard!,200 ปีที่ผ่านมาคงหนักหนาสำหรับยายแก่นั่น!
gerry_after_2cs_3,Hmm... but where are <you> in all this?,อืม... แล้วในเรื่องทั้งหมดนี้ <นาย> อยู่ไหนล่ะ?
gerry_after_2cs_4,Well... we're only getting started!,เราเพิ่งจะเริ่ม
gerry_for_3_4tq_1,Time to press onwards. The next thing is <ancient door hinge>...,ไปต่อกัน ชิ้นต่อไปคือ <บานพับประตูโบราณ>...
gerry_for_3_4tq_2,"Hmm, it's in the <ground>. Somewhere between the Village and Dig's home.",อืม อยู่ใน <ดิน> ที่ไหนสักแห่งระหว่างหมู่บ้านกับบ้านดิก
gerry_for_3_4tq_3,So go find it and dig it out.,ดังนั้นไปหามันและขุดมันออกมา
gerry_for_3_4tq_4,"Maybe, I can search for more than one artifact at a time?",บางทีฉันอาจจะค้นหาวัตถุมากกว่าหนึ่งในเวลาเดียวกัน
gerry_for_3_4tq_5,Why not! The <Legionary Helm> is located in...,ได้สิ! <หมวกเกราะทหารกองพัน> อยู่ที่...
gerry_for_3_4tq_6,The <Farmer's house>!,<บ้านชาวนา>!
gerry_for_3_4tq_7,"Well, that might be difficult...",นั่นอาจจะยาก...
gerry_for_3_4tq_8,But remember: using the artifacts in the correct order is critically important!,แต่จําไว้ว่า การใช้วัตถุมงคลในลําดับที่ถูกต้อง เป็นสิ่งสําคัญอย่างยิ่ง
task_dlc_stories_hinge,Find and unearth the ancient door hinge between the Village and Dig's home.,ขุดหาบานพับประตูโบราณระหว่างหมู่บ้านกับบ้านดิก
task_dlc_stories_legionary_helm,Find the Legionary Helm in the Farmer's house and bring it to Gerry.,หาหมวกเกราะทหารกองพันในบ้านชาวนาแล้วนำไปให้เจอร์รี
@gerry_before_3cs_1,Give him the ancient door hinge.,ส่งบานพับประตูโบราณให้เขา
gerry_before_3cs_2,"Sorry, the hinge is damp and dirty...",ขอโทษนะ บานพับทั้งชื้นทั้งสกปรกเลย...
gerry_before_3cs_3,"Ha, living skulls aren't afraid of a little dirt!",ฮะ! หัวกะโหลกมีชีวิตไม่กลัวดินนิดหน่อยหรอก!
gerry_after_3cs_1,Umm... I remember that place. That's where the <Keeper> dug me up!,อืม... ข้าจำที่นั่นได้! <ผู้ดูแลสุสาน> ขุดข้าขึ้นมาจากตรงนั้น!
gerry_after_3cs_2,He was looking for spare bones for his <zombies>.,เขาหากระดูกสำรองไว้ให้ <ซอมบี้> ของเขา
gerry_after_3cs_3,"I woke up, and I couldn't remember anything... but I wanted beer!",ข้าตื่นมาแล้วจำอะไรไม่ได้เลย... แต่ข้าอยากกินเบียร์!
gerry_after_3cs_4,That Keeper named me <Gerry>.,ผู้ดูแลสุสานคนนั้นตั้งชื่อข้าว่า <เจอร์รี>
@gerry_before_4cs_1,Give the Legionary Helm.,ส่งหมวกเกราะทหารกองพันให้
gerry_before_4cs_2,"Yay, you did it!",เย้ แกทำได้!
gerry_before_4cs_3,I think you're the first person that <Farmer> ever let in.,ข้าว่าแกเป็นคนแรกที่ <ชาวนา> ยอมให้เข้าบ้านนะ
gerry_after_4cs_1,"Listen, that <Jove> — he's a cool guy!",นี่ เจ้า <โจฟ> นั่นเจ๋งดีนะ!
gerry_after_4cs_2,He knows what he wants. Not like these other wusses.,เขารู้ว่าเขาต้องการอะไร ไม่เหมือนพวกขี้ขลาดพวกนี้
gerry_after_4cs_3a,I don't like him.,ฉันไม่ชอบเขา
gerry_after_4cs_3b,"Yeah, I agree.",ใช่ ฉันเห็นด้วย
gerry_after_4cs_4,"By the way, I didn't see <you> there this time either.",อ้อ คราวนี้ฉันก็ยังไม่เห็น <นาย> อยู่ที่นั่นเลย
gerry_after_4cs_5,"Mmm, Jove's hair is awesome!",อืม ผมของโจฟเท่ชะมัด!
gerry_after_4cs_6,Do we think we can get a wig and some glue?,พอจะหาวิกกับกาวมาได้ไหมนะ?
gerry_after_4cs_7,I prefer you bald. Let's continue.,ฉันชอบนายหัวโล้นมากกว่า ไปต่อเถอะ
gerry_for_6_8tq_1,The next thing is <ancient lockpicks>.,ชิ้นต่อไปคือ <อุปกรณ์สะเดาะกุญแจโบราณ>
gerry_for_6_8tq_2,Wow! It belongs to the <Miller>! What a twist!,ว้าว! เป็นของ <คนโม่แป้ง>! พลิกโผเชียว!
gerry_for_6_8tq_3,"Well, it is a little unexpected...",มันค่อนข้างไม่คาดคิด...
gerry_for_6_8tq_4,We also need a <priest's medallion>.,เราต้องใช้ <เหรียญตรานักบวช> ด้วย
gerry_for_6_8tq_5,And old <Dig> can help us with it. Dig? Hmm...,แล้วตาแก่ <ดิก> ก็ช่วยเราได้ ดิกหรือ? อืม...
gerry_for_6_8tq_6,Something else?,มีอะไรอีกไหม
gerry_for_6_8tq_7,"Okay, <Krezvold> has the an artifact.",เอาละ <เครซโวลด์> มีวัตถุโบราณอยู่
gerry_for_6_8tq_8,The <Legionary Dagger>.,<มีดสั้นทหารกองพัน>
task_dlc_stories_ancient_lock,Take the ancient lockpicks from the Miller.,ขออุปกรณ์สะเดาะกุญแจโบราณจากคนโม่แป้ง
task_dlc_stories_medalion_of_priest,Take the priest's medallion from Dig.,ขอเหรียญตรานักบวชจากดิก
task_dlc_stories_dagger,Take the legionary dagger from Krezvold.,ขอมีดสั้นทหารกองพันจากเครซโวลด์
@gerry_before_6cs_1,Give him the ancient lockpicks.,ส่งอุปกรณ์สะเดาะกุญแจโบราณให้เขา
gerry_before_6cs_2,So our <Miller> is a thief? Really?,ดังนั้นเรา <คนโม่แป้ง> เป็นขโมยเหรอ จริงเหรอ
gerry_before_6cs_3,Of course not. It's a... long story.,แน่นอน ไม่ใช่ มันเป็นเรื่องยาว
gerry_after_6cs_1,That Keeper constructed his <machine> on this <Hill>.,ผู้ดูแลสุสานคนนั้นสร้าง <เครื่อง> ของเขาบน <เนินเขา> นี่
gerry_after_6cs_2,It seems like he was really smart.,ดูเหมือนว่าเขาจะฉลาดมาก
gerry_after_6cs_3,He was a genius! You know I even feel a little sorry for him.,เขาเป็นอัจฉริยะ! รู้ไหม ข้ายังอดสงสารเขานิดๆ ไม่ได้
gerry_after_6cs_4,"Just imagine, he used the machine on his <final day of service>...",ลองจินตนาการดูสิ เขาใช้เครื่องจักรใน <วันสุดท้ายของการทํางาน>...
gerry_after_6cs_5,And something went wrong...,และมีบางอย่างผิดพลาด...
gerry_after_6cs_6,And the results are right in front of you!,แล้วผลลัพธ์ก็อยู่ตรงหน้าแกนี่ไง!
gerry_after_6cs_7,Very sad... Time to move on?,เศร้าจริงๆ... ไปต่อไหม?
@gerry_before_7cs_1,Give him the priest's medallion.,ส่งเหรียญตรานักบวชให้เขา
gerry_before_7cs_2,Here's the <medallion>. Dig traded it for <booze>.,นี่ <เหรียญ> ดิกยอมแลกกับ <เหล้า>
gerry_before_7cs_3,Booze!? You should have brought it to me!,เหล้างั้นหรือ!? แกควรเอามาให้ข้าสิ!
gerry_before_7cs_4,"Come on, man!",มาเถอะเพื่อน!
gerry_after_7cs_1,I'm starting to worry. Where am <I> in the past?,เริ่มกังวลแล้วสิ ในอดีตนั่น <ข้า> อยู่ไหน?
gerry_after_7cs_2,Listen. Maybe you... weren't always a skull?,นี่ บางทีนาย... อาจไม่ได้เป็นหัวกะโหลกมาตลอดก็ได้?
gerry_after_7cs_3,"Ok, then what was I? A rib? A femur?",แล้วข้าเป็นอะไร? ซี่โครง? กระดูกต้นขา?
gerry_after_7cs_4,You were probably a man or a woman.,คุณอาจจะเป็นชายหรือหญิง
gerry_after_7cs_5,"A woman? Mmm, in that case, I hope I had a titillating figure!",ผู้หญิงหรือ? อืม ถ้างั้นก็หวังว่าข้าจะหุ่นยั่วใจนะ!
@gerry_before_8cs_1,Give him the legionary dagger.,ส่งมีดสั้นทหารกองพันให้เขา
gerry_before_8cs_2,Let's use this <dagger>. And let's forget how expensive it was to obtain!,ใช้ <มีดสั้น> นี่เถอะ แล้วลืมไปเลยว่ากว่าจะได้มาต้องจ่ายแพงแค่ไหน!
gerry_before_8cs_3,Ehm... as you wish.,เอ่อ... ตามใจแก
gerry_after_8cs_1,Boy do I need a drink. Wait... Where's my <cognac>?,โอ๊ย อยากดื่มชะมัด เดี๋ยว... <คอนยัค> ข้าอยู่ไหน?
gerry_after_8cs_2,We haven't found it.,เรายังหาไม่เจอ
gerry_after_8cs_3,Pff! The <last Keeper> was my <real friend>. He always had something to drink!,เชอะ! <ผู้ดูแลสุสานคนก่อน> ต่างหาก <เพื่อนแท้> ข้า เขามีเหล้าให้ดื่มเสมอ!
gerry_after_8cs_4,What drinking parties we used to have!,วงเหล้าของเราแต่ก่อนมันส์หยดเลย!
gerry_after_8cs_5,And he often spoke of his family?,และเขามักจะพูดถึงครอบครัวของเขา?
gerry_after_8cs_6,Well... to tell you the truth. — He longed for them every day.,ก็... พูดตรงๆ เขาคิดถึงครอบครัวทุกวัน
gerry_after_8cs_7,Do you miss him?,คุณคิดถึงเขาไหม?
gerry_after_8cs_8,Hmm... sometimes.,อืมมม... บางครั้ง
gerry_for_10_11cs_1,Down to business... The next artifact is... er...,กลับเข้าเรื่อง... วัตถุโบราณชิ้นต่อไปคือ... เอ่อ...
gerry_for_10_11cs_2,The <Logger's belt buckle>.,<หัวเข็มขัดของคนตัดไม้>
gerry_for_10_11cs_3,And another thing... The machines reads <clay shards>! What's that about?,แล้วก็... เครื่องบอกว่า <เศษดินเผา>! อะไรกันน่ะ?
gerry_for_10_11cs_4,<Of an ancient vase>. And <Adam> has them.,<จากแจกันโบราณ> แล้ว <อดัม> ก็มีอยู่
task_dlc_stories_belt_from_logger,Take the belt buckle from the Logger.,รับหัวเข็มขัดจากคนตัดไม้
task_dlc_stories_postsherds_from_adam,Take the clay shards from Adam.,ขอเศษแจกันดินเผาจากอดัม
@gerry_before_10cs_1,Give him the belt buckle.,ส่งหัวเข็มขัดให้เขา
gerry_before_10cs_2,"That <Logger> is an eccentric guy, wouldn't you say?",<คนตัดไม้> นั่นแปลกคน ว่าไหม?
gerry_before_10cs_3,"Well, he's much more normal than <Beekeeper>.",เขาปกติกว่า <คนเลี้ยงผึ้ง>.
gerry_before_10cs_4,"Ha ha, the famous bees-lover!",ฮ่า ฮ่า คนรักผึ้งชื่อดัง
gerry_after_10cs_1,I got it! I know!,ข้ารู้แล้ว! คิดออกแล้ว!
gerry_after_10cs_2,You were right: I was a man!,แกพูดถูก ข้าเคยเป็นผู้ชาย!
gerry_after_10cs_3,I was the <Master>! The Master who has returned to avenge himself upon those pagans!,ข้าคือ <นายเหนือหัว>! นายเหนือหัวผู้หวนคืนมาแก้แค้นพวกนอกรีต!
gerry_after_10cs_4,I doubt it. They said he became the <New God>.,ฉันว่าไม่น่าใช่ เขาบอกว่านายเหนือหัวกลายเป็น <เทพองค์ใหม่> แล้ว
gerry_after_10cs_5,And the <Master> was kind... wise... and he didn't drink a lot.,แล้ว <นายเหนือหัว> ก็ใจดี... มีปัญญา... และไม่ดื่มมากด้วย
gerry_after_10cs_6,"Yes, but... Okay, you're right again.",ใช่ แต่... เอาเถอะ แกพูดถูกอีกแล้ว
@gerry_before_11cs_1,Give him the clay shards.,ส่งเศษแจกันดินเผาให้เขา
gerry_before_11cs_2,"They're just <shards of clay>. They must have been easy to get, right?",ก็แค่ <เศษดินเผา> คงหาได้ง่ายๆ ใช่ไหม?
gerry_before_11cs_3,You know what? I don't care to discuss it.,รู้อะไรไหม ฉันไม่สนใจที่จะพูดถึงมัน
gerry_after_11cs_1,"Listen, that <Portal>... To activate it, we'll need to assemble seven people with six keys, right?",ฟังนะ <ประตูมิติ> นั่น... ถ้าจะเปิดใช้งาน เราต้องรวมคนเจ็ดคนกับกุญแจหกดอกใช่ไหม?
gerry_after_11cs_2,I knew about that! I even told it to my <friend> the <Keeper>!,ข้ารู้อยู่แล้ว! เคยบอก <เพื่อน> ที่เป็น <ผู้ดูแลสุสาน> ด้วย!
gerry_after_11cs_3,That's strange. How could you have known about it?,แปลกจัง คุณรู้ได้ยังไง
gerry_after_11cs_4,"Good question! I wanted to help him get home, and...",คำถามดี! ข้าอยากช่วยให้เขากลับบ้าน แล้วก็...
gerry_after_11cs_5,I can't remember anything after that.,หลังจากนั้นข้าก็จำอะไรไม่ได้เลย
gerry_for_12_13cs_1,"Well, okay. Tell me about the next artifact.",เอาล่ะ บอกฉันเกี่ยวกับวัตถุชิ้นต่อไป
gerry_for_12_13cs_2,The first one is an <Amulet of the Ancient God>.,ชิ้นแรกคือ <เครื่องรางเทพโบราณ>
gerry_for_12_13cs_3,You should ask the <Lighthouse Keeper> about it.,ต้องถาม <คนเฝ้าประภาคาร> เรื่องนั้น
gerry_for_12_13cs_4,Or you can go and dig up some <ancient shackles>.,หรือจะไปขุด <ตรวนโบราณ> มาก็ได้
gerry_for_12_13cs_5,They're somewhere between the graveyard and the swamp.,พวกเขาอยู่ที่ไหนสักแห่ง ระหว่างสุสานและบึง
task_dlc_stories_amulet_searching,Take the Amulet of the Ancient God from the Lighthouse keeper,ขอเครื่องรางเทพโบราณจากคนเฝ้าประภาคาร
task_dlc_stories_shackles_searching,"Dig up the ancient shackles, somewhere between the graveyard and the swamp.",ขุดหาตรวนโบราณระหว่างสุสานกับบึง
@gerry_before_12cs_1,Give him the amulet of the Ancient God.,ส่งเครื่องรางเทพโบราณให้เขา
gerry_before_12cs_2,I heard you organized a <rat race>. That's great!,ได้ยินว่าแกจัด <แข่งหนู> ด้วย เยี่ยมเลย!
gerry_before_12cs_3,Maybe it'll inspire the <cultists> to drown more <inquisitors>... Hmm.,อาจกระตุ้นให้ <สาวกลัทธิ> จับ <ผู้ไต่สวน> ไปถ่วงน้ำเพิ่มก็ได้นะ... อืม
gerry_after_12cs_1,"An interesting twist... By the way, you never finished your story.",พลิกผันดีนะ... อ้อ นายยังเล่าเรื่องไม่จบเลย
gerry_after_12cs_2,What story? Ah! About the <Portal>!,เรื่องอะไร? อ้อ! เรื่อง <ประตูมิติ>!
gerry_after_12cs_3,"Well, we looked for <keys and their bearers> for 5 years.",พวกเราตามหา <กุญแจกับผู้ถือครอง> อยู่ 5 ปี
gerry_after_12cs_4,Did you find them?,คุณเจอมันมั้ย?
gerry_after_12cs_5,I think so. But then... I don't remember.,ข้าว่าเจอนะ แต่หลังจากนั้น... จำไม่ได้แล้ว
@gerry_before_13cs_1,Give him the ancient shackles.,ส่งตรวนโบราณให้เขา
gerry_before_13cs_2,"Hm, it'll be interesting to see who these <shackles> belonged to...",อืม น่าสนใจว่า <ตรวน> นี่เคยล่ามใครไว้...
gerry_before_13cs_3,To one of the numberless victims of the <New Faith>?,หนึ่งในเหยื่อนับไม่ถ้วนของ <ศรัทธาใหม่> หรือ?
gerry_after_13cs_1,Sad but it makes sense... Did you remember anything new?,น่าเศร้า แต่มันมีเหตุผล คุณจําอะไรใหม่ได้มั้ย?
gerry_after_13cs_2,Oh yes! The <Keeper> asked the <Portal> to return him home...,อ้อ ใช่! <ผู้ดูแลสุสาน> ขอให้ <ประตูมิติ> ส่งเขากลับบ้าน...
gerry_after_13cs_3,And then... BOOOM!!!,แล้ว... บูม!
gerry_after_13cs_4,Holy sard! The Keeper is dead! The others! They're all dead!,ให้ตายสิ! ผู้ดูแลสุสานตายแล้ว! คนอื่นด้วย! ตายกันหมด!
gerry_after_13cs_5,Maybe the Keeper didn't formulate his wish correctly. Or maybe it was something else...,บางทีผู้ดูแลสุสานอาจพูดคำขอผิด หรืออาจเป็นเพราะอย่างอื่น...
gerry_after_13cs_6,"After all, the <man with the red eye> found me and took me away.",หลังจากนั้น <ชายตาแดง> ก็เจอข้าแล้วพาตัวไป
gerry_for_14_16cs_1,That's all I remember.,ข้าจำได้แค่นี้แหละ
